label,confidence,reasoning,explanation,idx,sentence,matched_markers,paper_title,reviewer,ground_truth,model,correct
objective,0.95,"The sentence describes a factual observation about the paper's content without expressing evaluation, opinion, or hedging. It states a verifiable fact about term usage frequency, which aligns with objective reporting standards.",This is an objective statement documenting the presence and frequency of specific terminology in the paper.,25,The term “real world” or “physical world” are mentioned several places in the paper.,,Contact-VLA: Zero-Shot Planning and Control for Contact-Rich Manipulation,ICLR.cc/2026/Conference/Submission25221/Reviewer_Tdgz,objective,qwen3:8b,True
objective,0.95,"The sentence is a noun phrase describing a concept (applicability of a method) without evaluative language, hedging, or author-claim framing. It does not express opinions, beliefs, or emotional stances. The phrase is a neutral topic statement that could be analyzed objectively in a review context.","The sentence presents a technical concept without subjective evaluation, making it objectively descriptive.",26,The applicability of the Joint Visual Layer Reduction.,,HiDivDrop: Vision Token Reduction in MLLMs via Late Injection and Differentiable Top-K,ICLR.cc/2026/Conference/Submission25145/Reviewer_gcbi,objective,qwen3:8b,True
objective,0.95,"The sentence states a factual claim about the absence of specific analyses in the paper. It does not include evaluative language, personal judgments, or hedging. The reviewer is reporting a verifiable fact about the paper's content rather than expressing an opinion or evaluation of its quality.","The statement describes a factual omission in the paper's content, which can be verified by examining the paper itself.",27,"However, the paper provides no analysis of the average number of calls, token usage, latency, or financial cost per evaluation.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ErC3,objective,qwen3:8b,True
objective,0.95,"The sentence describes the technical approach used in the work (modular approach combining VLMs and LLMs) as a factual statement about the paper's methodology. It contains no evaluative language, hedging, or personal opinions. The phrase 'it is a modular approach' represents a factual description of the system's architecture rather than an author's subjective assessment.",This is an objective statement describing the technical methodology presented in the paper.,28,"However, in this work, it is a modular approach that leverages a combination of VLMs and LLMs.",,Contact-VLA: Zero-Shot Planning and Control for Contact-Rich Manipulation,ICLR.cc/2026/Conference/Submission25221/Reviewer_Tdgz,objective,qwen3:8b,True
objective,0.95,"The sentence describes a factual relationship between empirical estimation methods and kernels, referencing a specific equation (Eq. 11). It states a verifiable technical detail about the methodology without evaluative language, hedging, or personal judgment. The claim is framed as a factual description of the paper's approach rather than an opinion or evaluation.",This is an objective statement describing the technical methodology of the paper's empirical estimation approach.,29,The empirical estimation of the CS divergence relies on kernels (Eq. 11).,,Fairness via Independence: A General Regularization Framework for Machine Learning,ICLR.cc/2026/Conference/Submission25320/Reviewer_Pqrj,objective,qwen3:8b,True
objective,0.95,"The sentence reports a factual observation about the paper's content (missing definition of α values in the introduction). It contains no evaluative language, personal opinions, or hedging. The claim can be verified by checking the paper's introduction.",This is an objective statement describing a verifiable factual omission in the paper's content.,30,In the introduction $\alpha$ values are not defined,,Where Redundancy Lives: Stage-Aware Block Saliency in Skip-Connected Models,ICLR.cc/2026/Conference/Submission25281/Reviewer_CYi4,objective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('does not quantify') and expresses a judgment about the framework's shortcomings. While it mentions specific technical aspects (computational costs, inference time), the core claim is an author's assessment of what the work lacks. The structure ('While...it does not...') frames the criticism as a weakness, which is a subjective evaluation of the paper's completeness.","The sentence expresses a subjective evaluation of the framework's inadequacy in quantifying computational costs, making it a subjective claim.",31,"While the framework uses parallel expert routing to improve efficiency, it does not quantify the computational costs of its MoE design—for example, how the number of experts (one per 42 dimensions) affects inference time or resource consumption compared to monolithic evaluators.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,objective,qwen3:8b,False
objective,0.95,"The sentence describes a factual statement about the experimental scope (using a single dataset) without evaluative language, hedging, or author-claim framing. While the phrase 'limited to' might imply a judgment, the core assertion is verifiable as a factual claim about the study's methodology.",The sentence objectively reports the dataset usage without expressing the reviewer's personal evaluation or stance.,32,The experimental scope is limited to a single dataset (Persian Traffic Sign Dataset).,,"ERS*: A Bounded, Attribution-Agnostic Metric for Explainable Robustness in Image Recognition",ICLR.cc/2026/Conference/Submission25011/Reviewer_K3y2,objective,qwen3:8b,True
objective,0.95,"The sentence describes a specific formatting violation (headers not placed above tables) that can be verified by checking the table structure. It uses neutral language without hedging, evaluative terms, or personal opinions. The phrase 'as required' refers to an objective standard (likely a journal formatting guideline), making the statement verifiable and factual.",The sentence reports a verifiable formatting error without expressing subjective judgment or opinion.,33,Table formatting errors: Table headers are not placed above the tables as required.,,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,objective,qwen3:8b,True
objective,0.95,"The sentence describes a factual relationship between classification and batch composition without evaluative language, hedging, or author-claim framing. It states a verifiable technical relationship about the method's operation rather than expressing an opinion or emotional stance.","The statement presents a factual claim about the dependency in the classification process, which is a technical description rather than an evaluation or opinion.",34,The classification depends on batch composition.,,DeepCompress: A Dual Reward Strategy for Dynamically Exploring and Compressing Reasoning Chains,ICLR.cc/2026/Conference/Submission25170/Reviewer_EuSL,objective,qwen3:8b,True
objective,0.95,"The sentence describes the content of the paper (comparison between two divergences under Gaussian distribution) without expressing personal judgment, evaluation, or hedging. It uses neutral factual language to report the paper's methodology, which aligns with objective reporting standards.",This is an objective statement describing the paper's comparative analysis under specific conditions.,35,This paper gives a comparison between cs divergence and kl divergence under Gaussian distribution.,,Fairness via Independence: A General Regularization Framework for Machine Learning,ICLR.cc/2026/Conference/Submission25320/Reviewer_ESYX,objective,qwen3:8b,True
objective,0.95,"The sentence describes the benchmark's structural relationship to existing benchmarks without expressing personal judgment. It uses factual language ('is primarily an extension', 'adding') to describe the benchmark's design features. While the context is a 'weaknesses' section, the statement itself remains descriptive rather than evaluative, as it does not include hedging, emotional language, or explicit author-claim framing.",The sentence objectively describes the benchmark's design as an extension of prior work without expressing the reviewer's personal opinion or evaluation.,36,"Incremental Advancement: The benchmark is primarily an extension of existing tool-use benchmarks, adding goal shift and persona dimensions.",,AgentChangeBench: A Multi-Dimensional Evaluation Framework for Goal-Shift Robustness in Conversational AI,ICLR.cc/2026/Conference/Submission25416/Reviewer_iMah,objective,qwen3:8b,True
subjective,0.95,"The sentence contains an evaluative claim ('lacking evidence of generality') which expresses the reviewer's judgment about the study's limitations. While the mention of CIFAR-10 and ResNet-18 is factual, the core assertion about the experiments' scope is a subjective assessment of their validity and generalizability. This aligns with the 'weaknesses' section's purpose of highlighting perceived shortcomings.","The statement evaluates the experiments' scope and implications, reflecting the reviewer's subjective judgment rather than presenting verifiable facts.",37,"Experiments only conducted on CIFAR-10 with ResNet-18, lacking evidence of generality across more datasets and models.",,CABA: A Collusive Aggregation-Emergent Backdoor Attack in Federated Learning,ICLR.cc/2026/Conference/Submission25274/Reviewer_7Dcr,objective,qwen3:8b,False
objective,0.95,"The sentence reports a factual observation about the authors' actions (or lack thereof) regarding code sharing. It does not contain evaluative language, hedging, or subjective claims. The statement is verifiable based on the authors' submission and does not reflect the reviewer's personal opinion or emotional stance.",The sentence objectively states a fact about the authors' failure to provide code for reproducibility.,38,The authors do not share (or promise to share) code for reproducing the experiments.,,Curriculum-Based Termination Critic for Scalable Program Decomposition in Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25563/Reviewer_TBPh,objective,qwen3:8b,True
objective,0.95,"The sentence describes a technical relationship between kernel type/bandwidth and fairness performance based on the method's inherent properties. While it uses modal verbs ('could be'), this is common in scientific discourse to express theoretical implications rather than personal opinion. The claim is verifiable through analysis of density estimation methods and their impact on fairness metrics.",The statement presents a technical analysis of methodological properties rather than expressing personal judgment or evaluation.,39,"Since the kernel implicitly defines a density estimator, the fairness performance could be highly sensitive to kernel type and bandwidth.",,Fairness via Independence: A General Regularization Framework for Machine Learning,ICLR.cc/2026/Conference/Submission25320/Reviewer_Pqrj,objective,qwen3:8b,True
objective,0.95,"The sentence describes the content of the paper's related work section (factual statement about what is included) and notes the absence of a specific baseline (verifiable fact about the paper's methodology). It does not contain evaluative language, hedging, or personal opinions about the work's quality or implications.",The statement reports a verifiable fact about the paper's content without expressing the reviewer's subjective evaluation or stance.,40,"The related work mentions the concept of “LLM Juries” by Cohere et al., but it is not included as a baseline.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_2tsy,objective,qwen3:8b,True
subjective,0.95,"The sentence contains both factual description ('decomposes evaluation into 42 dimensions') and evaluative judgment ('does not analyze or mitigate potential knowledge redundancy'). The critical assessment of the framework's limitations constitutes a subjective evaluation of its design, which is the primary focus in a peer review's weaknesses section.","The sentence expresses the reviewer's evaluation of the framework's shortcomings, making it subjective.",41,"The framework decomposes evaluation into 42 dimensions and assigns dedicated experts to each, but it does not analyze or mitigate potential knowledge redundancy between experts.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,objective,qwen3:8b,False
subjective,0.95,"The sentence critiques the methodology by stating that key components 'are not ablated individually' and explains why this is a limitation. While it describes factual claims about the paper's experiments, the framing of these claims as weaknesses (e.g., 'there is no ablation... to verify their necessity') expresses an evaluative judgment about the methodology's adequacy. The use of terms like 'not ablated' and 'verify their necessity' implies a normative assessment of what should have been done, which aligns with subjective analysis.","The sentence evaluates the methodology's completeness by highlighting omissions, which reflects the reviewer's judgment rather than purely factual reporting.",42,"Key components are not ablated individually: The Jury Panel’s ablation only removes the entire panel, without testing the impact of removing either the General Judge or Critic Judge alone; there is no ablation of the Scenario Classifier or specific evaluation dimensions to verify their necessity.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,objective,qwen3:8b,False
objective,0.95,"The sentence describes a factual discrepancy between the abstract's claim and the actual content of the paper/supplementary materials. It contains no evaluative language, hedging, or personal opinions. The reviewer is reporting verifiable information about the absence of specific elements (links/previews) rather than expressing a subjective judgment.",This is an objective statement documenting the lack of implementation details in the paper's materials.,43,"The abstract states that “the metric and dataset are available for download,” but no link or preview is provided in either the paper or the supplementary materials.",,hDRIVE: HDR Image Visual Evaluation Metric for SDR to HDR Upconversion Quality Assessment,ICLR.cc/2026/Conference/Submission25592/Reviewer_qovQ,objective,qwen3:8b,True
objective,0.95,"The sentence contains specific numerical data (23% slower inference) and technical descriptions (quadratic scaling in contrastive components) that can be verified through experimental results. The verb 'acknowledge' here indicates the authors are reporting observed phenomena rather than expressing personal opinions or evaluations. There are no hedging phrases, evaluative terms, or subjective interpretations present.",The statement presents verifiable technical results from the authors' experiments without expressing personal opinions or evaluations.,44,The authors acknowledge 23\% slower inference and quadratic scaling in contrastive components.,,Contrastive-Aligned Knowledge Distillation for Collaborative Code Completion via Multi-Agent Reinforcement Learning,ICLR.cc/2026/Conference/Submission25606/Reviewer_hxQN,objective,qwen3:8b,True
objective,0.95,"The sentence describes an observed pattern in the relationship between memory size and task performance. It uses technical terminology ('monotonic') to report a factual property of the data without expressing personal judgment, evaluation, or hedging. The claim can be verified by examining the quantitative results presented in the paper.",The statement presents a verifiable observation about the data trends rather than expressing the author's subjective opinion or evaluation.,45,The improvement with memory size (M) is not monotonic across tasks.,,StaQ: a Finite Memory Approach to Discrete Action Policy Mirror Descent,ICLR.cc/2026/Conference/Submission25527/Reviewer_E3vT,objective,qwen3:8b,True
objective,0.95,"The sentence describes a factual observation about the paper's content (symbols not being formally defined). It does not include evaluative language, personal opinions, or hedging. The claim can be verified by checking the paper's definitions section.",The statement reports a verifiable fact about the paper's methodology rather than expressing an opinion or evaluation.,46,"The paper uses symbols such as $Q_\omega$ or $\pi$, which are never formally defined.",,Curriculum-Based Termination Critic for Scalable Program Decomposition in Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25563/Reviewer_TBPh,objective,qwen3:8b,True
objective,0.95,"The sentence presents a mathematical interpretation of numerical data from the original text. The reviewer is not expressing personal judgment or evaluation but is analyzing the implied relationship between the numbers (two paraphrases per commit leading to 4,800 examples). This is a factual deduction based on arithmetic rather than an opinion or subjective assessment.",The statement is an objective analysis of numerical relationships in the original text.,47,"The text states “two paraphrases per training commit, yielding ~4,800 examples,” which suggests 1,600 originals + 3,200 paraphrases.",,Improving Developer Emotion Classification via LLM-Based Augmentation,ICLR.cc/2026/Conference/Submission25649/Reviewer_KLi7,objective,qwen3:8b,True
subjective,0.95,"The sentence contains an evaluative claim ('limited to capturing only short-term temporal graph features') that expresses the reviewer's judgment about the models' capabilities. While it references the paper's own claims ('it is stated that'), the use of 'limited' is a subjective assessment of the models' effectiveness, not a verifiable fact. The reviewer is critiquing the paper's approach by highlighting perceived limitations, which aligns with the subjective nature of the 'weaknesses' section in peer reviews.","The sentence expresses a subjective evaluation of the models' capabilities, making it a subjective statement.",48,"4)	In line 127, it is stated that T-GCN and GC-LSTM are limited to capturing only short-term temporal graph features.",,Unsupervised Dynamic Graph Multi-Model Representation Learning for Temporal Patterns Discovery: Uncovering Parkinson’s Disease Stages Using Cerebrospinal Fluid Longitudinal Profiles,ICLR.cc/2026/Conference/Submission25570/Reviewer_9Jj8,objective,qwen3:8b,False
subjective,0.95,"The sentence critiques the paper's methodology by asserting the absence of a specific experiment. While the statement about the experiment's absence could be factual, the context of a peer review 'weaknesses' section frames it as an evaluative judgment. The reviewer is not merely reporting a verifiable fact but expressing a judgment about the paper's adequacy, which aligns with subjective analysis. The phrasing 'there is no experiment' serves as a critique of the work's completeness rather than a neutral factual claim.","The sentence expresses an evaluative judgment about the paper's methodology, making it subjective.",49,"For example, there is no experiment showing the effect of misalignment when the input image is not properly aligned with the geometry.",,Style2Shape: Image Style Guided 3D Shape Material Generation,ICLR.cc/2026/Conference/Submission25608/Reviewer_Hn2v,objective,qwen3:8b,False
