label,confidence,reasoning,explanation,idx,sentence,matched_markers,paper_title,reviewer,ground_truth,model,correct
subjective,0.9,"The sentence presents an evaluative judgment about the paper's approach, using terms like 'lacks' and 'diversity of evaluation' which indicate a subjective critique. The author's stance is implied through the critique of the paper's focus, making it a clear example of subjective analysis.","The reviewer is expressing an opinion about the paper's methodology, which is subjective.",21,"(iii) The paper considers only English-to-target machine translation as a generation task, which lacks the diversity of evaluation.",,Model-Aware Tokenizer Transfer,ICLR.cc/2026/Conference/Submission24994/Reviewer_GENk,objective,qwen3:1.7b,False
objective,0.95,The sentence describes a methodological detail (joint trigger tuning process) without expressing personal opinion or evaluation. It is a factual statement about the implementation of a trigger in the work.,The sentence objectively states a procedural detail without subjective judgment.,22,The trigger in this work is designed within the joint trigger tuning process.,,CABA: A Collusive Aggregation-Emergent Backdoor Attack in Federated Learning,ICLR.cc/2026/Conference/Submission25274/Reviewer_P4Gf,objective,qwen3:1.7b,True
objective,0.95,"The sentence states a factual claim about the paper's omission of specific forgery methods. It does not include evaluative language, hedging, or emotional stances, and describes a verifiable limitation of the paper's content.","The sentence presents a factual statement about the paper's lack of discussion on certain methods, which is objective.",23,"There is no discussion or demonstration of its extensibility to other prevalent forgery methods, such as splicing or those involving AI-generated content.",,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_Ap6R,objective,qwen3:1.7b,True
objective,0.95,"The sentence states a factual claim about the exclusion of specific approaches from evaluation without expressing personal opinions, evaluations, or hedging. It reports a neutral fact about the research process.",The sentence is objective as it describes a verifiable fact about the evaluation process without subjective language.,24,"Moreover, recent multi-branch approaches, such as Luo et al. [2], which integrate DCT, ELA, and noise features, are excluded from the evaluation.",,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_o5xa,objective,qwen3:1.7b,True
objective,0.99,The sentence states a factual description of the paper's content without expressing personal opinion or evaluation. It reports the frequency of term usage as a verifiable fact.,The sentence is objective because it describes the paper's content without subjective judgment or emotional stance.,25,The term “real world” or “physical world” are mentioned several places in the paper.,,Contact-VLA: Zero-Shot Planning and Control for Contact-Rich Manipulation,ICLR.cc/2026/Conference/Submission25221/Reviewer_Tdgz,objective,qwen3:1.7b,True
subjective,0.8,"The sentence 'The applicability of the Joint Visual Layer Reduction' expresses an evaluation of the paper's potential utility, which is an opinion-based assessment. The term 'applicability' implies a judgment about the paper's real-world relevance, aligning with subjective analysis in peer reviews.","The sentence reflects an evaluative judgment about the paper's applicability, making it subjective.",26,The applicability of the Joint Visual Layer Reduction.,,HiDivDrop: Vision Token Reduction in MLLMs via Late Injection and Differentiable Top-K,ICLR.cc/2026/Conference/Submission25145/Reviewer_gcbi,objective,qwen3:1.7b,False
objective,0.95,"The sentence states a factual claim about the paper's lack of analysis of specific metrics (average calls, token usage, latency, financial cost). It does not express personal opinion, evaluation, or hedging, and is neutral in tone. The verb 'provides' refers to the paper's content without subjective interpretation.","The sentence reports a factual absence of analysis in the paper, which is objective.",27,"However, the paper provides no analysis of the average number of calls, token usage, latency, or financial cost per evaluation.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ErC3,objective,qwen3:1.7b,True
objective,0.9,"The sentence states a factual description of the approach (modular, leveraging VLMs and LLMs) without expressing an opinion or evaluation. The context of the peer review highlights a weakness, but the sentence itself is objective as it reports a verifiable technical detail.","The sentence provides a factual description of the method's structure, which is objective.",28,"However, in this work, it is a modular approach that leverages a combination of VLMs and LLMs.",,Contact-VLA: Zero-Shot Planning and Control for Contact-Rich Manipulation,ICLR.cc/2026/Conference/Submission25221/Reviewer_Tdgz,objective,qwen3:1.7b,True
objective,0.95,"The sentence states a factual claim about the methodology (empirical estimation relying on kernels) without expressing personal opinion or evaluation. The reference to equation 11 is a citation, further supporting an objective classification.",The sentence reports a verifiable methodological detail without subjective or evaluative language.,29,The empirical estimation of the CS divergence relies on kernels (Eq. 11).,,Fairness via Independence: A General Regularization Framework for Machine Learning,ICLR.cc/2026/Conference/Submission25320/Reviewer_Pqrj,objective,qwen3:1.7b,True
objective,0.95,"The sentence states a factual claim about the absence of definition in the introduction, without expressing personal opinion or evaluation. It reports a verifiable fact about the paper's content.","The reviewer is pointing out a factual gap in the paper's content, not expressing an opinion.",30,In the introduction $\alpha$ values are not defined,,Where Redundancy Lives: Stage-Aware Block Saliency in Skip-Connected Models,ICLR.cc/2026/Conference/Submission25281/Reviewer_CYi4,objective,qwen3:1.7b,True
subjective,0.95,"The sentence critiques the lack of quantitative analysis in the framework's MoE design, using evaluative language like 'does not quantify' and referencing specific computational costs. This indicates an opinion about the paper's completeness, which is subjective.","The reviewer is expressing an evaluation of the paper's methodology shortcomings, which is a subjective critique.",31,"While the framework uses parallel expert routing to improve efficiency, it does not quantify the computational costs of its MoE design—for example, how the number of experts (one per 42 dimensions) affects inference time or resource consumption compared to monolithic evaluators.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,objective,qwen3:1.7b,False
objective,0.95,"The sentence states a verifiable fact about the experimental scope, mentioning a specific dataset as a detail but not expressing an opinion or evaluation. The author is reporting a limitation without personal stance.",The sentence is objective as it presents a factual limitation regarding the experimental scope.,32,The experimental scope is limited to a single dataset (Persian Traffic Sign Dataset).,,"ERS*: A Bounded, Attribution-Agnostic Metric for Explainable Robustness in Image Recognition",ICLR.cc/2026/Conference/Submission25011/Reviewer_K3y2,objective,qwen3:1.7b,True
subjective,0.95,"The sentence presents an evaluative judgment about the table's formatting, using terms like 'errors' and 'not placed above the tables as required,' which indicate an author's opinion rather than a verifiable fact. The phrase 'Table formatting errors' explicitly frames the statement as a critique, aligning with subjective analysis.","The reviewer is expressing an opinion about the table's formatting, which is subjective.",33,Table formatting errors: Table headers are not placed above the tables as required.,,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,objective,qwen3:1.7b,False
objective,0.95,"The sentence presents a factual relationship between 'classification' and 'batch composition' without expressing personal opinion, evaluation, or hedging. The use of 'depends on' is standard in objective descriptions of methodological dependencies.",The sentence is objective as it states a verifiable factual relationship between variables in a scientific context.,34,The classification depends on batch composition.,,DeepCompress: A Dual Reward Strategy for Dynamically Exploring and Compressing Reasoning Chains,ICLR.cc/2026/Conference/Submission25170/Reviewer_EuSL,objective,qwen3:1.7b,True
objective,0.95,"The sentence states a factual description of the paper's content without expressing the author's opinion or evaluation. It simply reports that the paper compares two divergences under a specific distribution, which is a neutral factual statement.",The sentence is objective as it describes the paper's methodology without subjective judgment.,35,This paper gives a comparison between cs divergence and kl divergence under Gaussian distribution.,,Fairness via Independence: A General Regularization Framework for Machine Learning,ICLR.cc/2026/Conference/Submission25320/Reviewer_ESYX,objective,qwen3:1.7b,True
objective,0.95,"The sentence presents a factual description of the benchmark's features without expressing personal opinions or evaluations. It states that the benchmark is an extension of existing benchmarks with specific additions, which is a verifiable claim about the benchmark's structure.",The sentence objectively describes the benchmark's characteristics without introducing subjective judgments or emotional stances.,36,"Incremental Advancement: The benchmark is primarily an extension of existing tool-use benchmarks, adding goal shift and persona dimensions.",,AgentChangeBench: A Multi-Dimensional Evaluation Framework for Goal-Shift Robustness in Conversational AI,ICLR.cc/2026/Conference/Submission25416/Reviewer_iMah,objective,qwen3:1.7b,True
subjective,0.9,"The sentence critiques the study's scope by stating it lacks evidence of generality across more datasets and models. This implies an evaluation of the study's validity and breadth, which aligns with subjective analysis of research weaknesses.","The reviewer is critiquing the study's generalizability as an opinion, not a verifiable fact.",37,"Experiments only conducted on CIFAR-10 with ResNet-18, lacking evidence of generality across more datasets and models.",,CABA: A Collusive Aggregation-Emergent Backdoor Attack in Federated Learning,ICLR.cc/2026/Conference/Submission25274/Reviewer_7Dcr,objective,qwen3:1.7b,False
objective,0.99,"The sentence states a factual claim about the authors' actions (not sharing code) without expressing an opinion or evaluation. It is a verifiable statement about the researchers' behavior, aligning with objective criteria.","The sentence reports a factual observation about the authors' lack of code sharing, making it objective.",38,The authors do not share (or promise to share) code for reproducing the experiments.,,Curriculum-Based Termination Critic for Scalable Program Decomposition in Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25563/Reviewer_TBPh,objective,qwen3:1.7b,True
objective,0.95,"The sentence presents a technical fact about the relationship between kernel type/bandwidth and fairness performance without expressing personal opinion, evaluation, or hedging. It describes a known technical relationship objectively.",The sentence is an objective statement reporting a verifiable technical fact about kernel parameters and their impact on fairness performance.,39,"Since the kernel implicitly defines a density estimator, the fairness performance could be highly sensitive to kernel type and bandwidth.",,Fairness via Independence: A General Regularization Framework for Machine Learning,ICLR.cc/2026/Conference/Submission25320/Reviewer_Pqrj,objective,qwen3:1.7b,True
objective,0.99,The sentence states a factual claim about the paper's inclusion of prior work without expressing personal opinion or evaluation. It reports on the paper's content objectively.,"The sentence is a factual statement about the paper's methodology, not an opinion or evaluation.",40,"The related work mentions the concept of “LLM Juries” by Cohere et al., but it is not included as a baseline.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_2tsy,objective,qwen3:1.7b,True
subjective,0.9,"The sentence critiques the framework's ability to analyze and mitigate knowledge redundancy, which is an evaluative judgment about its design and functionality. While the first part describes factual components of the framework, the second part expresses a subjective assessment of its limitations.","The reviewer is evaluating the framework's effectiveness, which is an opinion-based critique.",41,"The framework decomposes evaluation into 42 dimensions and assigns dedicated experts to each, but it does not analyze or mitigate potential knowledge redundancy between experts.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,objective,qwen3:1.7b,False
objective,0.95,"The sentence presents a factual critique of the study's methodology, stating that ablation experiments did not test individual components. It does not include subjective language, evaluations, or hedging, and focuses on verifiable methodological shortcomings.","The review provides an objective analysis of the study's experimental design, highlighting a specific methodological flaw without expressing personal opinion or evaluation.",42,"Key components are not ablated individually: The Jury Panel’s ablation only removes the entire panel, without testing the impact of removing either the General Judge or Critic Judge alone; there is no ablation of the Scenario Classifier or specific evaluation dimensions to verify their necessity.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,objective,qwen3:1.7b,True
objective,0.95,"The sentence states a factual claim about the paper's abstract and its lack of link/preview, without expressing personal opinion or evaluation. It reports a verifiable fact about the paper's content.","The sentence is a factual statement about the paper's content, not an opinion or evaluation.",43,"The abstract states that “the metric and dataset are available for download,” but no link or preview is provided in either the paper or the supplementary materials.",,hDRIVE: HDR Image Visual Evaluation Metric for SDR to HDR Upconversion Quality Assessment,ICLR.cc/2026/Conference/Submission25592/Reviewer_qovQ,objective,qwen3:1.7b,True
objective,0.95,"The sentence reports specific numerical data (23% slower inference) and technical terms (quadratic scaling in contrastive components) without expressing personal opinions, evaluations, or emotional stances. The use of 'acknowledge' indicates a factual statement about the authors' findings.","The sentence provides verifiable factual information about the authors' experimental results, making it objective.",44,The authors acknowledge 23\% slower inference and quadratic scaling in contrastive components.,,Contrastive-Aligned Knowledge Distillation for Collaborative Code Completion via Multi-Agent Reinforcement Learning,ICLR.cc/2026/Conference/Submission25606/Reviewer_hxQN,objective,qwen3:1.7b,True
objective,0.99,The sentence presents a factual observation about the relationship between memory size and improvement across tasks. It uses a technical term ('monotonic') and describes a statistical relationship without expressing personal opinion or emotional stance. The statement is verifiable through empirical data.,"The sentence reports a factual observation about a data-driven relationship, making it objective.",45,The improvement with memory size (M) is not monotonic across tasks.,,StaQ: a Finite Memory Approach to Discrete Action Policy Mirror Descent,ICLR.cc/2026/Conference/Submission25527/Reviewer_E3vT,objective,qwen3:1.7b,True
objective,0.99,"The sentence states a factual observation about the paper's use of symbols without expressing an opinion or evaluation. It refers to the paper's content as a factual claim about notation, which aligns with objective criteria.","The review points out a factual issue with the paper's notation, which is a verifiable claim about the paper's content.",46,"The paper uses symbols such as $Q_\omega$ or $\pi$, which are never formally defined.",,Curriculum-Based Termination Critic for Scalable Program Decomposition in Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25563/Reviewer_TBPh,objective,qwen3:1.7b,True
objective,0.95,"The sentence presents a factual statement about the number of examples generated, using numerical data without subjective language. It reports a verifiable fact from the text, not an author's evaluation or opinion.",The sentence is objective as it reports numerical data without expressing the author's stance or evaluation.,47,"The text states “two paraphrases per training commit, yielding ~4,800 examples,” which suggests 1,600 originals + 3,200 paraphrases.",,Improving Developer Emotion Classification via LLM-Based Augmentation,ICLR.cc/2026/Conference/Submission25649/Reviewer_KLi7,objective,qwen3:1.7b,True
objective,0.95,"The sentence reports a factual statement about the technical capabilities of T-GCN and GC-LSTM models without expressing personal opinion or evaluation. It refers to a specific claim from the paper's codebase, which is a verifiable technical fact.","The sentence is a neutral factual statement about the models' functionality, not an opinion or evaluation.",48,"4)	In line 127, it is stated that T-GCN and GC-LSTM are limited to capturing only short-term temporal graph features.",,Unsupervised Dynamic Graph Multi-Model Representation Learning for Temporal Patterns Discovery: Uncovering Parkinson’s Disease Stages Using Cerebrospinal Fluid Longitudinal Profiles,ICLR.cc/2026/Conference/Submission25570/Reviewer_9Jj8,objective,qwen3:1.7b,True
objective,0.95,"The sentence states a verifiable fact about the absence of an experiment in the context of misalignment and image alignment. It does not include subjective language, hedging, or evaluative terms. The claim is factual and objective.",The sentence reports a factual absence of an experiment without expressing the author's opinion or evaluation.,49,"For example, there is no experiment showing the effect of misalignment when the input image is not properly aligned with the geometry.",,Style2Shape: Image Style Guided 3D Shape Material Generation,ICLR.cc/2026/Conference/Submission25608/Reviewer_Hn2v,objective,qwen3:1.7b,True
objective,0.95,"The sentence states a factual observation about the data (figures not showing variance) without expressing personal opinion, evaluation, or emotional stance. It is a direct assertion of a verifiable fact about the experimental results.",The sentence reports a factual discrepancy in the data without subjective judgment.,50,The figures in the experimental results do not show the variance of reported metrics across independent runs.,,Curriculum-Based Termination Critic for Scalable Program Decomposition in Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25563/Reviewer_LPVL,objective,qwen3:1.7b,True
subjective,0.95,The sentence expresses a personal opinion ('my main concern') and an evaluative judgment ('don't see that the experiments support...') about the research results. The use of hedging ('while the work is promising') and the author's stance indicate subjective analysis.,"The reviewer is expressing their own perspective and criticism regarding the study's validity, which is a subjective evaluation.",51,"My main concern is, while the work is promising, I don't see that the experiments support the main conclusions that authors draw.",promising,Scaling Laws for Generative Reward Models,ICLR.cc/2026/Conference/Submission25601/Reviewer_UekM,subjective,qwen3:1.7b,True
subjective,0.95,The sentence contains evaluative language ('weak issues') and expresses an opinion about the manuscript's quality. The use of 'weak' and the context of a peer review indicate a subjective judgment.,"The reviewer is critiquing the manuscript's clarity as a weakness, which is an evaluative statement reflecting their personal opinion.",52,"Although the intuition behind character-ID information is interesting, there are several weak issues in this manuscript.  1/ Clarity.",interesting,All-in-One: Boosting Basic Capabilities in one Omni-MLLM to Enhance Movie Understanding,ICLR.cc/2026/Conference/Submission25627/Reviewer_pdST,subjective,qwen3:1.7b,True
subjective,0.9,"The sentence uses evaluative language ('overly simplistic', 'lacks rigor') and expresses the author's opinion about the paper's definition, which is not a verifiable fact.","The review contains subjective criticism of the paper's methodology, using adjectives that reflect the author's judgment rather than objective data.",53,1 The definition of hallucinations in this paper is overly simplistic and lacks rigor.,simplistic | lacks,Efficient High-Resolution Image Editing with Hallucination-Aware Loss and Adaptive Tiling,ICLR.cc/2026/Conference/Submission25554/Reviewer_GPpq,subjective,qwen3:1.7b,True
subjective,0.95,"The sentence expresses a recommendation or critique about the paper's content, indicating an author's opinion on what should be included. The use of 'should' and the evaluation of the comparison as 'insufficient' reflect subjective judgment.","The reviewer is critiquing the paper's completeness by suggesting a missing comparison, which is an evaluative statement.",54,"The authors should, for instance, discuss how their framework compares to general-purpose multi-agent frameworks like AutoGen or CrewAI, and why a bespoke system was necessary. - Insufficient comparison to recent agentic frameworks.",Insufficient,MAIG: Multi-agent system for Academic Illustration Generation based on deep search and reflection,ICLR.cc/2026/Conference/Submission25589/Reviewer_xRDB,subjective,qwen3:1.7b,True
subjective,0.9,"The sentence contains 'I think' which indicates an opinion, and the statement is recommending a specific requirement for the paper, which is subjective. The mention of 'cross-environment cooperation' is a technical term but does not alter the subjective nature of the claim.","The sentence expresses an opinion about the necessity of an algorithm or figure, which is subjective.",55,I think you really need an algorithm or a figure that places all the pieces together so that one can understand how they relate to each other [1] Cross-environment Cooperation Enables Zero-shot Multi-agent Coordination,I think,Contrastive-Aligned Knowledge Distillation for Collaborative Code Completion via Multi-Agent Reinforcement Learning,ICLR.cc/2026/Conference/Submission25606/Reviewer_v45Z,subjective,qwen3:1.7b,True
