label,confidence,reasoning,explanation,idx,sentence,matched_markers,ground_truth,model,correct
objective,0.95,"The sentence reports a factual observation about the frequency of specific terms in the paper. It uses neutral language ('mentioned several places') without evaluative judgments, hedging, or emotional language. The statement can be verified by examining the paper's content directly.",The sentence describes a verifiable fact about term usage in the paper without expressing the author's opinion or evaluation.,25,The term “real world” or “physical world” are mentioned several places in the paper.,,objective,qwen3:14b,True
objective,0.95,"The sentence is a noun phrase stating a topic ('applicability of the Joint Visual Layer Reduction') without expressing any opinion, evaluation, or emotional stance. It does not contain hedging language, personal judgments, or evaluative terms. The focus is on a factual concept rather than the author's perspective.",The sentence neutrally references a topic for analysis without expressing subjective evaluation or opinion.,26,The applicability of the Joint Visual Layer Reduction.,,objective,qwen3:14b,True
objective,0.95,"The sentence states a factual absence of specific analyses in the paper (e.g., 'no analysis of...'). The terms 'average number of calls,' 'token usage,' 'latency,' and 'financial cost' are all measurable, verifiable aspects. The author does not express an opinion, evaluation, or emotional stance but reports a gap in the paper's content. There is no hedging or evaluative language.",The sentence objectively identifies missing components in the paper without expressing the author's judgment or subjective evaluation.,27,"However, the paper provides no analysis of the average number of calls, token usage, latency, or financial cost per evaluation.",,objective,qwen3:14b,True
objective,0.95,"The sentence describes a factual characteristic of the work's methodology ('modular approach') and specifies technical components ('VLMs and LLMs') without expressing evaluation, opinion, or hedging. The use of 'however' here serves as a transitional phrase rather than introducing subjectivity.",The statement objectively reports the technical approach used in the work without expressing the author's evaluation or opinion.,28,"However, in this work, it is a modular approach that leverages a combination of VLMs and LLMs.",,objective,qwen3:14b,True
objective,0.95,"The sentence describes a methodological fact (use of kernels for empirical estimation) and references an equation (Eq. 11), which are objective elements. There is no evaluative language, hedging, or expression of personal opinion. The statement is neutral and factual, focusing on the paper's approach rather than the reviewer's judgment.",The sentence reports a verifiable methodological detail without expressing the author's stance or opinion.,29,The empirical estimation of the CS divergence relies on kernels (Eq. 11).,,objective,qwen3:14b,True
objective,0.95,"The sentence states a verifiable fact about the absence of α value definitions in the introduction. It does not include evaluative language, hedging, or personal opinion. The statement is neutral and descriptive, focusing on a specific omission in the paper's content.",The sentence objectively reports a missing element (α value definitions) in the paper's introduction without expressing the reviewer's judgment or evaluation.,30,In the introduction $\alpha$ values are not defined,,objective,qwen3:14b,True
objective,0.95,"The sentence identifies a specific omission in the paper's methodology (failure to quantify computational costs) and provides concrete examples (e.g., 'number of experts (one per 42 dimensions)'). These are factual observations about what is missing from the work, without evaluative language, personal opinions, or hedging. The focus is on verifiable content gaps rather than subjective judgment.",The statement objectively describes a factual absence in the paper's analysis without expressing the reviewer's personal evaluation or opinion.,31,"While the framework uses parallel expert routing to improve efficiency, it does not quantify the computational costs of its MoE design—for example, how the number of experts (one per 42 dimensions) affects inference time or resource consumption compared to monolithic evaluators.",,objective,qwen3:14b,True
objective,0.95,"The sentence states a factual limitation of the experimental scope (using only one dataset) and provides the specific name of the dataset. The term 'limited' here describes a verifiable constraint in the methodology rather than expressing an evaluative opinion. There is no hedging, emotional language, or personal judgment.",The statement objectively reports a factual limitation in the study's methodology without expressing subjective evaluation.,32,The experimental scope is limited to a single dataset (Persian Traffic Sign Dataset).,,objective,qwen3:14b,True
objective,0.95,"The sentence states a factual observation about table formatting ('headers are not placed above the tables') and references a requirement ('as required'), which implies a verifiable standard. There is no evaluative language, hedging, or explicit opinion expressed by the author.",The statement describes a specific formatting deviation from a verifiable standard without expressing subjective judgment or opinion.,33,Table formatting errors: Table headers are not placed above the tables as required.,,objective,qwen3:14b,True
objective,0.95,"The sentence states a factual dependency between classification and batch composition without evaluative language, hedging, or personal opinion. It describes a methodological condition rather than expressing the author's judgment.","The statement is a neutral description of a dependency in the classification process, lacking subjective evaluation or personal stance.",34,The classification depends on batch composition.,,objective,qwen3:14b,True
objective,0.95,"The sentence describes a factual action performed by the paper (comparison between two divergences under a specific distribution) without evaluative language, hedging, or opinion expression. It reports on the paper's content neutrally.",The statement objectively describes the paper's methodology without expressing the reviewer's personal judgment or evaluation.,35,This paper gives a comparison between cs divergence and kl divergence under Gaussian distribution.,,objective,qwen3:14b,True
objective,0.95,"The sentence describes the benchmark's relationship to existing tool-use benchmarks and specifies the additions (goal shift and persona dimensions) without evaluative language or personal opinion. Terms like 'primarily' are used descriptively rather than hedging, and the statement focuses on factual characteristics of the benchmark.",The sentence objectively reports the benchmark's composition and relationship to prior work without expressing the author's evaluation or stance.,36,"Incremental Advancement: The benchmark is primarily an extension of existing tool-use benchmarks, adding goal shift and persona dimensions.",,objective,qwen3:14b,True
subjective,0.95,"The sentence states a factual limitation ('experiments only conducted on CIFAR-10 with ResNet-18') but evaluates it as a weakness ('lacking evidence of generality'). The phrase 'lacking evidence of generality' reflects the reviewer's judgment about the study's scope, which is an evaluative stance rather than a verifiable fact. The combination of factual description and evaluative language makes the overall statement subjective.","The sentence expresses an evaluative judgment about the experiments' limited scope, making it subjective.",37,"Experiments only conducted on CIFAR-10 with ResNet-18, lacking evidence of generality across more datasets and models.",,objective,qwen3:14b,False
objective,0.95,"The sentence states a factual claim about the authors' actions (or inaction) regarding code sharing. It uses neutral language without evaluative terms, hedging, or opinion markers. The statement can be verified by checking whether code is shared or promised to be shared, making it an objective observation.","The sentence reports a verifiable fact about the authors' failure to share code, without expressing the reviewer's personal opinion or evaluation.",38,The authors do not share (or promise to share) code for reproducing the experiments.,,objective,qwen3:14b,True
objective,0.95,"The sentence explains a technical relationship between kernel parameters and fairness performance based on the implicit definition of density estimators. Terms like 'could be' indicate a conditional possibility rather than subjective evaluation. The statement describes a generalizable technical effect without expressing personal opinion, belief, or emotional stance.",The sentence objectively describes a technical dependency between kernel properties and fairness performance without subjective evaluation.,39,"Since the kernel implicitly defines a density estimator, the fairness performance could be highly sensitive to kernel type and bandwidth.",,objective,qwen3:14b,True
objective,0.95,"The sentence states a factual omission in the paper's related work section. It mentions a specific concept ('LLM Juries') and its source (Cohere et al.), then reports that this concept was not included as a baseline. These are verifiable claims about the paper's content, without evaluative language, hedging, or explicit opinion markers. The statement is neutral in tone and focuses on describing what is (or is not) present in the work being reviewed.",The sentence objectively reports an absence in the paper's related work without expressing judgment or subjective evaluation.,40,"The related work mentions the concept of “LLM Juries” by Cohere et al., but it is not included as a baseline.",,objective,qwen3:14b,True
subjective,0.95,"The sentence evaluates the framework's design by stating it 'does not analyze or mitigate potential knowledge redundancy between experts.' This is a critical judgment about the framework's shortcomings, which reflects the reviewer's opinion on its effectiveness. While the first part ('decomposes evaluation into 42 dimensions') is descriptive, the second part introduces an evaluative claim about the framework's failure to address a potential issue, making the overall statement subjective.","The sentence expresses a critical evaluation of the framework's design, classifying it as subjective.",41,"The framework decomposes evaluation into 42 dimensions and assigns dedicated experts to each, but it does not analyze or mitigate potential knowledge redundancy between experts.",,objective,qwen3:14b,False
objective,0.95,"The sentence describes specific methodological omissions in the ablation study (e.g., 'no ablation of the Scenario Classifier' or 'removing either the General Judge or Critic Judge alone'). These are factual observations about what was not implemented in the research, without evaluative language, personal opinions, or hedging. The focus is on verifiable aspects of the methodology rather than the author's subjective judgment.",The statement objectively reports missing experimental components in the ablation study without expressing personal evaluation or opinion.,42,"Key components are not ablated individually: The Jury Panel’s ablation only removes the entire panel, without testing the impact of removing either the General Judge or Critic Judge alone; there is no ablation of the Scenario Classifier or specific evaluation dimensions to verify their necessity.",,objective,qwen3:14b,True
objective,0.95,"The sentence reports a factual discrepancy between the abstract's claim and the actual content of the paper/supplementary materials. It uses verifiable statements ('no link or preview is provided') without evaluative language, hedging, or explicit opinion markers. The focus is on observable absence of information rather than subjective judgment.",The statement describes a verifiable factual inconsistency without expressing the author's personal evaluation or opinion.,43,"The abstract states that “the metric and dataset are available for download,” but no link or preview is provided in either the paper or the supplementary materials.",,objective,qwen3:14b,True
objective,0.95,"The sentence reports specific numerical claims ('23% slower inference', 'quadratic scaling') that are verifiable facts about the authors' own findings. The phrasing 'the authors acknowledge' frames this as a factual statement about what the authors have reported, without expressing the reviewer's own opinion or evaluation.",The sentence objectively states verifiable claims made by the authors without incorporating the reviewer's subjective judgment.,44,The authors acknowledge 23\% slower inference and quadratic scaling in contrastive components.,,objective,qwen3:14b,True
objective,0.95,"The sentence describes an observed relationship between memory size and task performance using technical terminology ('monotonic'). It states a factual claim about the data without evaluative language, hedging, or explicit author stance. The use of 'improvement' here likely refers to measurable outcomes (e.g., performance metrics) rather than subjective interpretation.","The statement reports an empirical observation about the non-monotonic relationship between memory size and task performance, which is a verifiable fact rather than an opinion.",45,The improvement with memory size (M) is not monotonic across tasks.,,objective,qwen3:14b,True
objective,0.95,"The sentence states a verifiable fact about the paper's content (symbols not being formally defined). It does not include evaluative language, personal opinions, or hedging. The claim can be objectively confirmed by checking whether the symbols are defined in the paper.",The statement reports a factual absence of definitions in the paper without expressing subjective judgment.,46,"The paper uses symbols such as $Q_\omega$ or $\pi$, which are never formally defined.",,objective,qwen3:14b,True
objective,0.95,"The sentence reports a numerical calculation based on explicit data from the text ('two paraphrases per training commit, yielding ~4,800 examples') and logically infers the breakdown (1,600 originals + 3,200 paraphrases). There is no evaluative language, hedging, or opinion expression—only a factual interpretation of numbers.",The statement is objective as it presents a verifiable mathematical inference from explicitly stated numerical data without expressing the author's stance or opinion.,47,"The text states “two paraphrases per training commit, yielding ~4,800 examples,” which suggests 1,600 originals + 3,200 paraphrases.",,objective,qwen3:14b,True
subjective,0.85,"The sentence evaluates the capabilities of T-GCN and GC-LSTM by stating they are 'limited to capturing only short-term temporal graph features.' This uses evaluative language ('limited') and reflects the reviewer's judgment about the models' shortcomings. While phrased as a factual claim, the absence of verifiable evidence (e.g., citations or data) and the context of a peer review's weaknesses section suggest it expresses the reviewer's opinion rather than an objective fact.","The statement reflects the reviewer's evaluation of the models' limitations, making it subjective.",48,"4)	In line 127, it is stated that T-GCN and GC-LSTM are limited to capturing only short-term temporal graph features.",,objective,qwen3:14b,False
objective,0.95,"The sentence states a factual absence of experimental evidence ('no experiment showing...') without using evaluative language or expressing the author's opinion. It describes a verifiable gap in the paper's methodology, which aligns with objective reporting.",The statement objectively reports the lack of specific experimental evidence without expressing subjective judgment or evaluation.,49,"For example, there is no experiment showing the effect of misalignment when the input image is not properly aligned with the geometry.",,objective,qwen3:14b,True
subjective,0.85,"The sentence points out an omission in the figures, which is a judgment about the adequacy of the paper's presentation. While it states a factual absence (figures not showing variance), the context of a peer review's 'weaknesses' section implies an evaluation of the paper's quality. The phrasing 'do not show' frames the absence as a shortcoming, aligning with subjective evaluative language (e.g., 'fails to') from the definitions.","The sentence evaluates the figures' inadequacy in presenting variance, reflecting the reviewer's judgment rather than a purely verifiable fact.",50,The figures in the experimental results do not show the variance of reported metrics across independent runs.,,objective,qwen3:14b,False
subjective,0.95,"The sentence contains explicit evaluative language ('promising') and expresses the reviewer's personal stance ('I don't see that the experiments support...'). The use of first-person perspective ('My main concern') and hedging ('while the work is promising') further indicates subjectivity. While it mentions experiments and conclusions, these are framed through the reviewer's judgment rather than presenting verifiable facts.","The sentence expresses the reviewer's personal evaluation and concerns about the experiments' adequacy, making it subjective.",51,"My main concern is, while the work is promising, I don't see that the experiments support the main conclusions that authors draw.",promising,subjective,qwen3:14b,True
subjective,0.95,"The sentence contains evaluative language such as 'interesting' and 'weak issues,' which reflect the reviewer's personal judgment. The phrase 'there are several weak issues' is an opinion about the manuscript's quality rather than a verifiable fact. The mention of 'Clarity' as a weakness is a subjective critique, not an objective observation.",The sentence expresses the reviewer's evaluative opinions about the manuscript's strengths and weaknesses using subjective language.,52,"Although the intuition behind character-ID information is interesting, there are several weak issues in this manuscript.  1/ Clarity.",interesting,subjective,qwen3:14b,True
subjective,0.95,"The sentence uses evaluative language ('overly simplistic', 'lacks rigor') to critique the paper's definition. These terms reflect the reviewer's judgment rather than verifiable facts. There are no numerical claims, methodological descriptions, or citations that would make this objective.","The sentence expresses an opinion about the quality of the definition using evaluative language, making it subjective.",53,1 The definition of hallucinations in this paper is overly simplistic and lacks rigor.,simplistic | lacks,subjective,qwen3:14b,True
subjective,0.95,"The sentence contains evaluative language ('should', 'insufficient') and expresses an opinion about the paper's shortcomings. It frames the authors' work as lacking in comparison to other frameworks, which reflects the reviewer's judgment rather than stating verifiable facts. The use of 'why a bespoke system was necessary' also implies an evaluation of the authors' design choices.",The statement expresses the reviewer's opinion about the paper's inadequacies and makes evaluative claims about the framework's comparison to others.,54,"The authors should, for instance, discuss how their framework compares to general-purpose multi-agent frameworks like AutoGen or CrewAI, and why a bespoke system was necessary. - Insufficient comparison to recent agentic frameworks.",Insufficient,subjective,qwen3:14b,True
subjective,0.95,"The sentence begins with 'I think', a clear indicator of personal opinion. The phrase 'you really need' expresses an evaluative judgment about what the paper should include. The suggestion of adding an algorithm/figure to 'place all the pieces together' reflects the reviewer's assessment of the paper's current shortcomings, which is a subjective evaluation rather than a verifiable fact.",The use of first-person opinion markers and evaluative language clearly identifies this as a subjective statement about the paper's weaknesses.,55,I think you really need an algorithm or a figure that places all the pieces together so that one can understand how they relate to each other [1] Cross-environment Cooperation Enables Zero-shot Multi-agent Coordination,I think,subjective,qwen3:14b,True
subjective,0.85,"The sentence contains hedging language ('it seems like') and evaluative phrasing ('would be the real baseline'), which indicate the author's judgment about the baseline's adequacy. While it mentions specific technical methods (LoRA/adapters), the framing of the statement as a critique of the baseline's approach introduces the author's opinion rather than stating verifiable facts.",The use of hedging and evaluative language reflects the author's subjective assessment of the baseline's methodology.,56,"In addition, it seems like the baseline fine-tuning does not employ standard parameter‑efficient fine‑tuning methods inside the BFM (e.g., LoRA/adapters), which would be the real baseline when talking about efficiency.",it seems,subjective,qwen3:14b,True
subjective,0.85,"The sentence uses evaluative language ('not clearly defined') to express the reviewer's judgment about the paper's clarity on specific concepts. While it references aspects of the paper (environment structure, reward horizon, credit assignment), the phrasing reflects the reviewer's perception of inadequacy rather than stating verifiable facts. This aligns with the definition of subjective statements, which include evaluations and opinions about the quality or clarity of work.","The use of 'not clearly defined' reflects the reviewer's evaluation of the paper's clarity, making this a subjective statement.",57,"The environment structure, reward horizon, and credit assignment in MARL are not clearly defined.",not clearly,subjective,qwen3:14b,True
subjective,0.95,"The sentence evaluates the paper's shortcomings by stating it 'lacks comparison to several relevant methods,' which is an opinion about the paper's completeness. While it mentions specific methods (MaterialMVP) and their features (objective facts), the core claim about the paper's omission is a judgment. The use of 'lacks' reflects the reviewer's evaluation, making the statement subjective.","The sentence expresses a critical evaluation of the paper's methodology, making it subjective despite mentioning factual details about other methods.",58,"The paper lacks comparison to several relevant methods, such as MaterialMVP (ICCV 2025), which also supports image as the condition and generates the object material.",lacks | relevant,subjective,qwen3:14b,True
subjective,0.95,The sentence contains explicit personal opinion markers ('I think') and evaluative language ('particularly interesting'). The author expresses a preference for an alternative approach ('as opposed to just the pivot languages') based on their own judgment rather than presenting verifiable facts. The reasoning provided ('because the model is explicitly trained on those anyway') reflects the author's interpretation rather than objective evidence.,"The sentence clearly expresses the author's personal opinion and evaluation of what would be 'interesting' to see, making it subjective.",59,I think this would be particularly interesting to see as opposed to just the pivot languages because the model is explicitly trained on those anyway.,I think | interesting,subjective,qwen3:14b,True
subjective,0.95,"The sentence contains explicit expressions of personal preference ('I'd much prefer') and evaluative judgment ('weakens the argument'), both of which are hallmarks of subjectivity. The use of 'I think' directly signals the author's opinion rather than objective fact. There are no verifiable claims or neutral descriptions of methods/results.","The sentence expresses clear personal opinions and evaluative judgments about the evaluation rigor and LLM's role, making it subjective.",60,I'd much prefer if the evals were as rigorous as possible and i think LLM as a judge weakens the argument,I'd much prefer ,subjective,qwen3:14b,True
subjective,0.95,"The sentence contains explicit personal opinion ('I'm not a great fan') and evaluative language ('not a great fan'), which directly express the author's stance. The use of first-person pronouns ('I') and value-laden terms indicate subjectivity rather than objective fact-reporting.","The sentence expresses the author's personal opinion about the LLM's suitability as a judge, making it clearly subjective.",61,"At the same time, I'm not a great fan of the LLM as a judge evaluation of the agents",I'm not a,subjective,qwen3:14b,True
subjective,0.95,"The sentence uses evaluative language ('not interesting') to express a personal judgment about the work. There are no verifiable facts, methodological descriptions, or neutral observations. The phrasing directly conveys the reviewer's opinion without hedging or framing as a claim.","The sentence expresses a clear evaluative opinion about the work's quality, which is inherently subjective.",62,This is not interesting.,interesting,subjective,qwen3:14b,True
subjective,0.95,"The sentence contains evaluative language ('should be included', 'more convincing empirical validation') which reflects the reviewer's judgment about the paper's adequacy. While it mentions specific baselines (objective terms), the phrasing frames these as recommendations for improvement, expressing an opinion rather than stating verifiable facts.",The use of evaluative language and recommendations indicates a subjective stance on what constitutes sufficient empirical validation.,63,"Additional privacy-related baselines, such as approaches based on secure inference, differential privacy, should be included for a more convincing empirical validation. 3.",should be,subjective,qwen3:14b,True
subjective,0.95,"The sentence uses evaluative language ('unclear') and a hedge ('really') to express the reviewer's opinion about the paper's clarity. It does not present verifiable facts or neutral descriptions, but rather conveys the author's judgment about the work's quality.",The statement expresses an evaluative opinion about the paper's clarity using subjective language.,64,- The paper is really unclear on exactly what and how the probem is being solved.,unclear,subjective,qwen3:14b,True
